AAPL,GOOGL,NDX
96.77,756.87,4671.303
96.7,756.9475,4670.354
96.7158,756.96,4670.952
96.74,757.405,4672.271
96.78,757.35,4672.986
96.775,757.25,4672.704
96.815,757.5049,4673.686
96.82,757.355,4672.77
96.8,757.07,4671.176
96.8,757.25,4671.264
96.81,756.995,4670.272
96.81,756.74,4670.213
96.81,756.68,4670.381
96.8,756.84,4671.395
96.7868,756.97,4671.456
96.79,757.26,4672.559
96.75,757.28,4672.518
96.67,757.65,4671.725
103.85,758.9399,4710.9
103.9,757.69,4710.448
103.78,757.99,4708.461
103.669,758.28,4707.827
103.65,758.399,4707.009
103.786,756.05,4704.305
103.7689,756.91,4706.652
103.91,757.03,4707.132
104.065,757.3,4707.602
104.18,757.44,4708.97
104.085,756.7,4705.297
103.9907,756.37,4702.423
104.02,757.41,4703.081
104.03,756.92,4701.556
103.942,756.07,4698.935
103.73,756.65,4700.73
103.7405,756.96,4700.717
103.76,757.3375,4701.758
103.79,758.035,4701.362
103.731,758.55,4702.441
103.62,758.97,4703.167
103.77,759.26,4703.69
103.9701,760,4706.732
103.95,760.49,4706.846
103.95,761.12,4707.628
103.93,761,4708.937
103.95,761.35,4710.787
103.97,761.22,4711.186
103.96,761.25,4710.291
103.99,761.19,4709.778
103.93,761.0115,4707.63
103.965,761.49,4708.614
104.095,762.05,4710.251
104.05,762.26,4709.703
104.03,762.18,4709.972
104.03,762.31,4710.169
104.1582,762.18,4710.688
104.02,761.8,4708.145
103.995,761.59,4707.601
103.94,761.55,4707.113
103.8158,760.93,4705.795
103.8274,761.5912,4706.807
103.7426,761.61,4706.32
103.735,761.21,4705.359
103.73,761.49,4705.86
103.75,761.87,4706.041
103.755,761.96,4706.735
103.745,761.96,4706.268
103.63,761.92,4704.666
103.51,761.9,4703.581
103.55,761.49,4702.358
103.645,761.5,4702.094
103.6089,761.37,4700.595
103.5304,761.365,4700.419
103.515,761.385,4701.568
103.56,761.25,4700.27
103.56,760.85,4699.776
103.5141,760.301,4700.07
103.5351,760.894,4700.524
103.525,760.74,4700.854
103.41,760.79,4699.939
103.371,761.15,4700.748
103.3001,760.818,4699.763
103.27,760.96,4699.966
103.345,760.94,4698.19
103.48,761.24,4700.617
103.44,761.36,4699.489
103.5,761.6372,4701.472
103.45,761.2675,4700.762
103.555,761.43,4701.259
103.46,761.44,4699.078
103.43,761.43,4698.408
103.425,761.4812,4697.122
103.45,762,4698.767
103.365,761.58,4697.403
103.345,761.53,4695.854
103.43,761.97,4698.301
103.4,761.83,4697.603
103.31,761.5,4697.898
103.185,761,4695.768
103.14,761.575,4695.642
103.215,761.31,4697.393
103.245,761.72,4698.654
103.295,762.04,4699.777
103.2545,761.34,4698.653
103.241,761.609,4697.999
103.2065,761.3975,4697.275
103.1599,761.11,4697.329
103.09,761.34,4697.45
103.1,761.43,4696.845
103.035,761.28,4696.628
103.0799,761.45,4697.518
103.09,761.34,4696.997
103.0451,761.22,4696.599
103.095,761.25,4697.55
102.9579,761.35,4696.349
103.02,761.37,4697.405
102.98,761.83,4697.754
102.87,761.86,4697.035
102.7938,761.93,4696.773
102.92,762,4697.901
102.9899,762.6,4699.253
102.9341,762.2422,4697.555
102.9038,761.96,4696.128
102.955,762,4696.439
103.02,761.69,4695.952
103.0444,762.39,4698.588
103,762.32,4698.166
103.0101,762.56,4698.709
102.946,762.26,4696.503
102.87,762.41,4695.976
102.85,762.46,4696.534
102.83,762.13,4696.275
102.84,762.38,4696.735
102.86,762.65,4697.743
102.935,762.89,4701.639
102.98,762.77,4702.463
102.974,762.79,4701.317
102.925,762.39,4700.527
102.99,762.69,4702.593
103.05,762.4,4701.186
102.98,761.73,4699.154
102.9937,762.15,4700.129
103.0443,762.33,4700.85
103.0642,762.11,4701.21
103.0101,762.01,4701.066
102.95,761.67,4699.372
102.92,761.69,4699.563
102.96,761.455,4699.401
102.85,760.79,4696.687
102.805,760.73,4696.524
102.8558,760.645,4697.222
102.8809,760.56,4696.256
102.895,760.99,4696.448
102.925,760.88,4696.692
102.88,760.99,4696.402
102.91,761.3,4696.163
102.97,761.24,4696.945
103.0101,761.6356,4698.24
103,761.41,4699.118
103.01,761.73,4699.498
102.9799,761.57,4699.415
103.01,761.33,4699.815
102.99,761.031,4699.744
103.005,761.07,4699.175
103.01,760.765,4699.118
103.0213,760.44,4698.301
103.035,760.3456,4697.982
102.96,759.95,4696.683
102.95,759.9175,4695.246
102.995,759.95,4694.357
103.005,759.73,4693.352
102.98,759.515,4693.001
103.08,759.865,4694.939
103.06,759.56,4694.562
103.0001,759.66,4693.287
103.005,759.7,4693.41
103,759.31,4693.58
102.985,759.18,4693.498
103.0037,758.735,4693.521
103,758.6075,4693.272
102.9565,758.42,4692.315
102.94,757.98,4691.039
102.9177,758.05,4691.387
102.9,757.89,4690.687
102.9637,757.67,4691.326
103.04,758.13,4692.317
103.005,758.26,4692.105
103.005,758.35,4692.42
103.0449,758.13,4692.414
103,757.665,4691.38
103,757.65,4691.059
103.05,757.92,4691.724
102.985,757.8,4690.951
103.0207,757.75,4690.895
103.012,757.4078,4690.404
102.9901,757.54,4690.493
103.0018,757.5,4690.821
102.995,757.8,4691.574
102.995,758.16,4692.371
102.985,758.22,4691.723
102.985,758.04,4691.225
102.995,758.25,4691.871
103,758.04,4691.292
103.0263,758.16,4692.03
103.02,758.04,4691.748
103.01,758.205,4692.055
103,758.28,4691.559
102.995,758.42,4691.66
103.028,758.93,4692.82
103.021,759,4693.164
103.01,758.93,4693.298
103.015,759.075,4693.323
103.0141,759.1,4693.167
103.03,759.2,4693.392
103.1,759.0925,4694.308
103.0546,758.985,4693.817
103.0848,758.85,4693.487
103.09,758.855,4693.015
103.07,758.6,4693.04
103.04,758.46,4692.842
103.0548,758.57,4693.041
103,758.63,4692.541
103.0141,758.69,4692.353
103.05,758.68,4691.774
103.05,758.41,4692.539
103.005,758.35,4692.132
103,758.495,4691.599
103.025,758.64,4691.893
103.005,758.9,4692.39
103.055,758.96,4693.05
103.05,758.8825,4693.017
103.001,758.805,4691.603
103.017,758.45,4691.449
103.04,758.9,4692.609
103.0101,758.96,4691.809
103.02,758.9985,4692.26
103.04,759.46,4693.126
103.0208,759.6,4693.083
103.025,759.7,4692.869
103.015,759.585,4691.886
103,759.65,4692.249
103.0135,759.62,4691.141
103.035,759.4905,4691.755
103.06,759.88,4692.084
103.03,759.7043,4691.938
103.066,760.0006,4692.364
103.06,760.1903,4692.922
103.0741,760.38,4693.382
103.084,760.2699,4693.185
103.06,759.88,4692.437
103.06,760.03,4691.576
103.07,759.78,4691.405
103.0803,759.974,4691.549
103.09,760.115,4692.204
103.175,760.35,4693.488
103.1663,760.41,4693.359
103.165,760.76,4694.174
103.16,760.75,4693.748
103.13,760.42,4692.621
103.13,760.56,4692.532
103.18,760.11,4692.941
103.14,760.42,4692.798
103.1245,760.255,4691.695
103.115,760.41,4692.504
103.1301,760.75,4693.811
103.0325,760.511,4693.243
103.0142,760.5,4692.806
103.0098,760.52,4692.729
102.9925,760.325,4691.778
103,760.45,4691.447
103.02,760.6985,4693.027
103.005,760.9099,4693.206
103.04,761.3,4694.062
103.069,760.74,4694.393
103.17,761.33,4696.302
103.21,761.55,4697.62
103.274,761.67,4698.696
103.2,761.39,4697.592
103.2215,761.4,4697.488
103.2048,760.92,4696.146
103.21,760.61,4695.539
103.21,760.82,4695.01
103.21,760.81,4694.73
103.1932,760.95,4694.482
103.23,760.64,4694.543
103.26,760.4,4694.617
103.2735,760.86,4695.707
103.28,760.4,4695.489
103.22,760.44,4696.89
103.1462,759.55,4690.562
103.27,759.64,4691.688
103.456,760.2875,4698.114
103.325,760.3339,4694.756
103.275,759.75,4693.429
103.26,759.55,4693.139
103.29,759.8359,4694.846
103.39,759.94295,4696.91
103.4756,760.05,4697.689
103.445,759.5,4694.623
103.46,760.48,4697.301
103.461,760.68,4696.692
103.402,760.69,4695.708
103.3699,760.89,4695.876
103.3838,760.57,4694.99
103.48,760.73,4699.524
103.54,761.89,4704.132
103.6,761.891,4706.375
103.59,762.33,4707.392
103.54,762.0215,4704.843
103.6099,762.49,4705.957
103.591,762.155,4705.201
103.5759,762.25,4705.33
103.61,762.19,4706.32
103.61,761.96,4705.391
103.641,761.94,4705.031
103.69,762.01,4703.563
103.649,761.8,4702.239
103.575,762.13,4703.178
103.52,761.84,4701.382
103.4411,762.3,4703.142
103.49,762.4927,4704.279
103.49,762.63,4702.838
103.52,762.49,4703.399
103.57,762.4,4704.322
103.64,762.8,4706.467
103.65,762.7884,4707.233
103.61,762.34,4704.937
103.635,762.84,4706.585
103.59,762.77,4705.34
103.51,762.81,4704.208
103.542,762.46,4703.649
103.5841,762.54,4704.519
103.57,762.25,4704.072
103.5698,762.76,4705.127
103.5941,763.02,4705.971
103.59,762.98,4705.007
103.63,763.2,4705.416
103.66,763,4704.85
103.6742,763.08,4704.975
103.689,762.75,4704.182
103.69,763.005,4704.789
103.7693,763.44,4705.852
103.751,763.04,4706.136
103.6799,762.88,4704.753
103.691,762.765,4704.871
103.696,763.06,4705.278
103.68,763.045,4705.788
103.5999,762.6,4705.092
103.61,762.53,4705.197
103.68,763.22,4708.179
103.694,763.33,4708.89
103.73,763.615,4708.872
103.74,763.41,4708.601
103.7588,763.46,4709.139
103.77,763.93,4711.507
103.7,763.52,4709.731
103.6992,763.35,4709.864
103.73,763.68,4710.38
103.75,763.86,4710.147
103.7489,764.03,4710.186
103.77,763.85,4710.894
103.74,763.95,4711.509
103.74,763.711,4711.187
103.74,763.72,4710.369
103.7889,764.4,4713.976
103.75,764.05,4713.579
103.73,763.92,4712.393
103.775,763.77,4713.019
103.74,763.73,4712.732
103.7549,763.69,4712.418
103.73,763.44,4711.221
103.7593,763.649,4711.518
103.765,763.76,4710.953
103.77,763.87,4711.477
103.74,763.72,4710.856
103.758,763.7,4710.881
103.735,763.5,4709.622
103.751,763.77,4711.411
103.7511,763.74,4711.48
103.735,763.65,4711.455
103.685,763.74,4711.549
103.62,763.75,4711.855
103.62,763.34,4711.146
103.615,764.04,4712.981
103.535,763.66,4712.083
103.625,763.74,4713.145
103.66,764.16,4713.822
103.6801,764.1661,4714.561
103.64,763.57,4714.247
103.6325,763.8158,4714.681
103.61,763.64,4714.671
103.645,763.5,4714.127
103.645,763.67,4715.77
103.6185,763.61,4713.686
103.53,762.93,4710.343
103.5,762.4418,4708.526
103.4,761.67,4705.331
103.405,761.62,4704.077
103.34,761.53,4703.94
103.43,762.2,4706.303
103.445,762,4705.317
103.47,761.91,4705.565
103.4975,761.985,4706.184
103.44,761.74,4705.097
103.4501,761.48,4704.527
103.345,761.3,4701.795
103.294,760.75,4700.749
103.3,761.16,4702.984
103.03,761.97,4704.412
103.19,768.175,4713.791
103.17,765.97,4715.116
103.35,766.74,4717.031
103.45,764.6684,4715.313
103.4311,763.185,4713.253
103.22,762.88,4707.147
103.165,762.66,4702.141
103.0542,761.06,4699.379
103.04,760.44,4697.979
103.1,760.745,4696.185
103.17,759.9563,4697.046
103.16,759.62,4698.898
103.2758,760.83,4700.804
103.35,762.91,4703.267
103.345,763.14,4704.556
103.43,763.38,4703.503
103.56,763.78,4704.105
103.615,763.89,4703.94
103.61,764.015,4703.198
103.69,764.705,4705.778
103.77,764.29,4708.265
103.83,763.9963,4710.182
103.8693,764.81,4713.047
103.91,765.14,4713.646
104.06,765.9012,4717.741
104.14,765.17,4717.624
104.06,765.199,4715.847
103.979,765,4715.313
103.97,764.58,4714.841
103.97,764.46,4713.494
103.9851,764.92,4715.592
103.98,765.16,4714.947
104.005,765.68,4716.228
103.9802,766.25,4716.769
103.92,766.57,4715.9
103.83,765.93,4713.295
103.905,766.455,4715.716
103.985,766.341,4716.386
104.1176,766.31,4718.394
104.1,766.1,4717.774
104.0841,766.109,4717.06
104.045,764.9866,4713.868
104.065,765.17,4714.157
104.02,765.29,4713.207
103.93,764.435,4706.59
103.91,763.86,4705.561
103.8741,763.82,4704.121
103.915,763.68,4705.164
103.99,764.25,4706.584
104.0065,763.89,4705.856
103.99,763.855,4706.013
103.955,763.77,4704.854
103.97,763.24,4705.383
104.04,763.75,4707.852
103.98,762.99,4705.666
104,763.3,4706.06
104.005,762.34,4705.275
104,761.54,4704.593
103.9511,761,4703.634
103.96,762.3,4705.563
103.9,762.53,4704.162
103.96,762.61,4704.217
103.975,762.56,4704.161
103.945,762.925,4703.899
103.9,762.77,4703.866
103.865,763.52,4704.248
103.84,763.0064,4702.202
103.71,763.375,4699.632
103.745,763.5605,4700.829
103.8401,763.21,4702.645
103.86,763.435,4703.82
103.8331,763.7431,4703.921
103.88,763.87,4704.553
103.905,764.11,4705.911
103.985,764.67,4708.21
103.896,764.0216,4706.214
103.905,763.76,4706.786
103.94,764.025,4708.724
103.9611,764.005,4709.535
103.93,764.42,4708.957
103.9863,764.45,4709.546
103.97,763.99,4707.534
104.0297,764.76,4709.093
104.0214,764.53,4708.969
104.011,764.43,4708.683
103.99,763.87,4706.069
103.9442,763.67,4704.815
103.9637,763.97,4706.782
103.95,764.43,4708.232
103.93,763.09,4705.012
103.94,762.8,4704.955
103.9499,762.7,4704.904
103.96,763.06,4705.778
103.9586,762.96,4705.944
103.9542,762.95,4706.297
103.92,762.63,4706.08
103.8937,762.5,4704.839
103.89,762.83,4705.627
103.8705,762.64,4705.356
103.83,762.5705,4704.434
103.81,762.1143,4702.448
103.8201,762.1699,4702.457
103.89,763.23,4705.947
103.89,763.12,4706.177
103.83,762.85,4704.96
103.85,763.42,4706.45
103.9,764.1,4708.517
103.9,763.77,4708.009
103.9235,763.599,4709.019
103.9492,763.65,4708.614
103.93,763.71,4708.178
103.9101,763.795,4709.535
103.91,763.42,4708.918
103.8601,763.51,4709.299
103.7963,763.3,4709.544
103.75,763.08,4708.388
103.77,763.2627,4708.54
103.735,763.08,4707.832
103.75,763.42,4708.628
103.7398,763.79,4708.982
103.6501,763.685,4709.203
103.721,763.555,4709.441
103.638,763.45,4707.315
103.59,763.46,4706.034
103.5,763,4702.978
103.5543,763.03,4704.22
103.58,763.08,4705.196
103.57,763.01,4705.051
103.6,762.675,4704.426
103.585,762.77,4704.624
103.61,762.73,4704.339
103.6,763.01,4704.761
103.645,762.64,4704.308
103.72,762.685,4705.211
103.755,762.96,4706.23
103.765,763.01,4707.228
103.779,762.49,4706.8
103.8262,762.83,4708.324
103.88,763.07,4709.41
103.84,762.93,4708.523
103.835,762.16,4707.476
103.87,762.3967,4707.516
103.86,762.4456,4707.742
103.87,762.145,4708.016
103.85,762.36,4708.594
103.8541,762.17,4707.991
103.87,761.82,4707.74
103.85,761.7,4708.628
103.835,761.65,4708.627
103.859,761.77,4708.834
103.8436,761.76,4707.82
103.86,761.59,4708.801
103.875,761.59,4708.835
103.86,761.575,4708.68
103.86,761.71,4708.575
103.845,761.96,4709.015
103.83,762.17,4707.867
103.841,762.29,4707.81
103.85,762.43,4707.61
103.801,762.84,4708.035
103.815,763.44,4708.375
103.85,763.78,4709.687
103.87,763.77,4710.335
103.8563,763.725,4710.652
103.86,763.74,4710.169
103.845,763.4,4710.487
103.8,763.362,4709.154
103.83,763.38,4709.765
103.8,763.14,4708.835
103.7865,763.11,4708.289
103.77,762.995,4708.145
103.7745,762.9846,4708.252
103.745,762.79,4708.367
103.73,762.57,4707.034
103.725,762.53,4705.585
103.65,762.665,4703.922
103.6668,762.56,4703.454
103.71,762.88,4704.56
103.75,762.75,4705.351
103.732,762.72,4705.014
103.69,762.94,4704.828
103.672,762.85,4704.106
103.685,762.88,4704.793
103.631,762.61,4703.901
103.596,762.6,4703.962
103.595,762.91,4704.506
103.5901,762.19,4703.733
103.58,762.25,4703.2
103.5541,762.26,4702.546
103.58,762.16,4702.671
103.55,761.97,4702.441
103.58,762.07,4703.556
103.6043,762.18,4704.205
103.6085,762.23,4704.513
103.585,762.185,4704.625
103.5341,761.95,4703.48
103.58,762,4703.659
103.565,762.105,4703.899
103.565,761.8556,4703.817
103.5135,762.2,4704.054
103.56,762.07,4705.094
103.54,761.79,4703.855
103.57,761.64,4703.687
103.581,761.62,4703.249
103.6,761.325,4702.98
103.621,761.23,4703.171
103.596,760.52,4702.023
103.634,760.55,4703.117
103.5937,760.58,4702.466
103.6,760.51,4702.523
103.5811,760.21,4702.105
103.575,760.01,4701.731
103.59,760.12,4702.83
103.65,760.68,4705.455
103.645,760.8466,4705.611
103.685,761.23,4706.855
103.68,761.23,4706.525
103.71,761.13,4706.578
103.715,760.99,4706.146
103.74,761.35,4706.437
103.73,761.15,4707.338
103.72,761.31,4707.25
103.74,761.58,4707.772
103.735,761.29,4707.143
103.745,761.43,4707.347
103.71,761.38,4707.864
103.73,761.35,4708.003
103.76,761.48,4708.422
103.73,761.082,4707.773
103.75,761.35,4708.912
103.705,761.06,4707.013
103.6901,760.99,4706.04
103.695,761.225,4705.632
103.68,761.2225,4705.328
103.7,761.5,4705.935
103.705,761.66,4706.26
103.72,761.82,4707.77
103.7125,762,4708.923
103.72,761.78,4708.827
103.72,762.305,4709.058
103.71,762.18,4708.935
103.7035,762.54,4709.203
103.68,762.24,4708.618
103.7,761.5402,4709.062
103.7,762.13,4708.868
103.74,762.23,4709.134
103.72,761.93,4708.445
103.745,762.21,4708.732
103.75,762.38,4709.309
103.76,762.52,4709.308
103.774,762.8,4710.062
103.77,762.8096,4709.779
103.755,762.502,4709.298
103.735,762.58,4708.279
103.7449,762.86,4708.034
103.765,762.92,4708.527
103.78,762.92,4709.055
103.78,762.81,4708.913
103.77,762.805,4709.108
103.8,762.45,4709.194
103.8399,762.605,4710.85
103.84,762.61,4710.497
103.84,762.44,4709.95
103.88,762.44,4710.025
103.84,762.21,4709.005
103.8865,762.35,4709.971
103.89,762.39,4709.952
103.92,762.5,4710.842
103.93,762.8,4710.967
103.99,763.192,4714.403
103.955,763.68,4715.266
103.95,763.91,4714.572
103.99,763.97,4714.493
